time,tensor,correlator
5.312000,6.069012e-03,-1.711997e-07
5.344000,6.599329e-03,-1.448842e-07
5.376000,4.961908e-03,-1.159149e-07
5.408000,3.208587e-03,-6.783756e-08
5.440000,5.003089e-03,-2.318646e-08
5.472000,5.403969e-03,2.475875e-08
5.504000,2.359179e-03,5.405609e-08
5.536000,-7.657665e-04,8.253495e-08
5.568000,-1.848814e-03,8.304261e-08
5.600000,-1.185706e-04,8.012604e-08
5.632000,7.033909e-04,7.560536e-08
5.664000,7.766393e-04,6.938161e-08
5.696000,1.474126e-03,6.114750e-08
5.728000,4.247471e-03,6.603730e-08
5.760000,4.794895e-03,7.304031e-08
5.792000,2.908900e-03,5.724989e-08
5.824000,1.283408e-03,4.036457e-08
5.856000,2.652775e-03,2.936341e-08
5.888000,2.872288e-03,-1.977828e-08
5.920000,4.735249e-03,-7.635625e-08
5.952000,6.708517e-03,-1.206902e-07
5.984000,4.218760e-03,-1.399689e-07
6.016000,5.663782e-03,-1.310225e-07
6.048000,4.151897e-03,-1.117547e-07
6.080000,8.829515e-03,-9.917877e-08
6.112000,8.057561e-03,-7.921794e-08
6.144000,8.299571e-03,-7.030915e-08
6.176000,8.000496e-03,-7.979107e-08
6.208000,7.201853e-03,-1.162853e-07
6.240000,6.448274e-03,-1.399060e-07
6.272000,5.737059e-03,-1.566565e-07
6.304000,4.676507e-03,-1.480239e-07
6.336000,7.188925e-03,-1.488324e-07
6.368000,7.342547e-03,-1.365306e-07
6.400000,7.157271e-03,-1.280897e-07
6.432000,5.605210e-03,-1.366546e-07
6.464000,3.572103e-03,-1.412336e-07
6.496000,3.698219e-03,-1.437198e-07
6.528000,2.885765e-03,-1.581944e-07
6.560000,2.882785e-03,-1.311825e-07
6.592000,4.685206e-03,-1.039237e-07
6.624000,7.346049e-03,-9.081569e-08
6.656000,6.326911e-03,-9.712685e-08
6.688000,5.184012e-03,-9.792761e-08
6.720000,6.182465e-03,-8.970102e-08
6.752000,5.355293e-03,-9.069393e-08
6.784000,6.143545e-03,-8.268126e-08
6.816000,3.739309e-03,-9.566412e-08
6.848000,3.594976e-03,-1.211988e-07
6.880000,4.540632e-03,-1.269847e-07
6.912000,2.915394e-03,-1.331400e-07
6.944000,1.558944e-03,-1.326222e-07
6.976000,9.965793e-04,-1.200924e-07
7.008000,-3.532095e-04,-1.174708e-07
7.040000,-1.297715e-03,-1.258598e-07
7.072000,-1.257517e-03,-1.289129e-07
7.104000,5.243447e-05,-1.073800e-07
7.136000,1.677199e-03,-1.003002e-07
7.168000,2.247020e-03,-8.058237e-08
7.200000,4.287233e-03,-6.778961e-08
7.232000,2.970689e-03,-5.612087e-08
7.264000,2.231988e-03,-3.652174e-08
7.296000,2.866048e-03,-2.438305e-08
7.328000,2.248216e-03,-1.741226e-08
7.360000,2.404812e-03,-1.055702e-08
7.392000,4.444617e-03,-1.596695e-08
7.424000,4.882618e-03,-2.512785e-08
7.456000,4.926523e-03,-4.425830e-08
7.488000,5.422440e-03,-7.606698e-08
7.520000,7.264028e-03,-1.063894e-07
7.552000,8.659717e-03,-1.416390e-07
7.584000,7.433261e-03,-1.873840e-07
7.616000,6.747999e-03,-2.225694e-07
7.648000,5.028999e-03,-2.758260e-07
7.680000,5.562099e-03,-3.157078e-07
7.712000,8.898434e-03,-3.335435e-07
7.744000,8.301881e-03,-3.555787e-07
7.776000,7.729978e-03,-3.702307e-07
7.808000,5.145595e-03,-3.735331e-07
7.840000,3.889881e-03,-3.584406e-07
7.872000,1.676871e-03,-3.419619e-07
7.904000,1.089132e-03,-3.076674e-07
7.936000,1.026043e-03,-3.033882e-07
7.968000,2.808001e-03,-3.141949e-07
8.000000,2.854509e-03,-3.131277e-07
8.032000,6.196354e-03,-3.193590e-07
8.064000,4.559544e-03,-3.269058e-07
8.096000,4.966772e-03,-3.215518e-07
8.128000,3.765641e-03,-3.109032e-07
8.160000,3.703639e-03,-3.014801e-07
8.192000,3.056671e-03,-2.716219e-07
8.224000,3.212266e-03,-2.344853e-07
8.256000,1.980550e-03,-1.889387e-07
8.288000,7.050727e-04,-1.416598e-07
8.320000,-6.851969e-04,-8.726966e-08
8.352000,-5.160249e-04,-3.183554e-08
8.384000,-2.095500e-04,1.640097e-08
8.416000,-1.914110e-03,5.200498e-08
8.448000,-1.832819e-03,7.463562e-08
8.480000,3.812972e-04,1.038973e-07
8.512000,-5.849540e-04,1.310710e-07
8.544000,6.852754e-04,1.676428e-07
8.576000,2.414635e-03,2.162520e-07
8.608000,1.979437e-03,2.387392e-07
8.640000,3.412874e-03,2.380624e-07
8.672000,2.153222e-03,2.607145e-07
8.704000,3.967715e-03,2.682843e-07
8.736000,6.026061e-03,2.685189e-07
8.768000,5.959215e-03,2.662804e-07
8.800000,5.625335e-03,2.698384e-07
8.832000,5.347019e-03,2.868357e-07
8.864000,1.733883e-03,2.876795e-07
8.896000,2.305931e-03,2.835318e-07
8.928000,7.222957e-04,2.865831e-07
8.960000,1.904023e-04,2.956465e-07
8.992000,1.083098e-03,2.855902e-07
9.024000,5.609039e-05,2.766053e-07
9.056000,-1.915126e-03,2.697515e-07
9.088000,-1.798780e-03,2.565437e-07
9.120000,-6.139967e-04,2.411550e-07
9.152000,-1.157468e-03,2.334948e-07
9.184000,-2.034839e-03,2.036936e-07
9.216000,-1.588211e-03,1.587574e-07
9.248000,3.269618e-04,1.122163e-07
9.280000,1.008113e-03,7.285418e-08
9.312000,3.290183e-03,5.328492e-08
9.344000,1.382347e-03,2.111264e-08
9.376000,2.304432e-03,-1.168830e-08
9.408000,4.181360e-03,-5.944274e-08
9.440000,3.743045e-03,-1.057476e-07
9.472000,3.888415e-03,-1.498091e-07
9.504000,3.393126e-03,-2.137273e-07
9.536000,4.745377e-03,-2.612469e-07
9.568000,5.368521e-03,-2.882660e-07
